"year","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","source"
1977,0.131623113,0.225381207,0.305609116,0.399994752,0.4697955,0.507204782,0.378561654,0.780043089,0.975552712,1.071536983,"fishery"
1978,0.072339126,0.225317679,0.299524403,0.348019144,0.38779451,0.396820568,0.370520567,0.423243425,0.975552712,1.071536983,"fishery"
1979,0.496326531,0.319155972,0.457021078,0.475804399,0.474895463,0.467701773,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1980,0.365025586,0.317231219,0.44985521,0.519834734,0.58489731,0.629697439,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1981,0.365025586,0.317231219,0.44985521,0.519834734,0.58489731,0.629697439,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1982,0.365025586,0.273446328,0.442689342,0.563865069,0.694899156,0.794733395,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1983,0.365025586,0.359091359,0.49875247,0.601136936,0.68554038,0.810195255,0.546479567,0.780043089,0.975552712,1.071536983,"fishery"
1984,0.2969163,0.41007078,0.617216022,0.706582619,0.777417916,0.801528858,0.89035648,0.909933449,0.975552712,1.071536983,"fishery"
1985,0.301833929,0.45219432,0.551901191,0.682441443,0.736515416,0.775105144,0.807233236,1.006952392,1.011235622,1.071536983,"fishery"
1986,0.14616561,0.33423729,0.528274418,0.545778195,0.78567782,0.752748037,0.829432753,0.857913602,0.953562744,1.052448871,"fishery"
1987,0.265344514,0.435179115,0.729131159,0.907993806,0.858657117,0.963920853,1.023286338,1.053797847,1.087653616,1.098160336,"fishery"
1988,0.19600648,0.350536277,0.469715363,0.564028424,0.624204497,0.694144237,0.78330914,0.817708506,0.849758868,1.064001741,"fishery"
1989,0.295457603,0.440218625,0.57747826,0.738552371,0.837921757,0.664199376,0.817180399,0.906067231,1.01,1.065261678,"fishery"
1990,0.361841124,0.510842285,0.728270845,0.877410935,0.88504942,0.98459424,1.38599675,1.039073679,1.444906685,1.441677801,"fishery"
1991,0.229813003,0.207287845,0.54043766,0.729167,0.68510751,0.65536484,0.75511093,1.013993169,0.742849888,1.021130068,"fishery"
1992,0.229813003,0.390048828,0.606889365,0.715312101,0.895201164,0.973320271,0.838723378,0.864553828,0.916284281,1.009917906,"fishery"
1993,0.229813003,0.572061025,0.625669812,0.681733286,0.773178226,0.826010349,0.782222823,1.040517158,0.811921932,1.009917906,"fishery"
1994,0.15,0.36291662,0.56827969,0.64878925,0.697438745,0.77687935,0.749226885,0.74371691,0.736403595,0.922354909,"fishery"
1995,0.092336598,0.228480865,0.519579265,0.667457255,0.68736737,0.690662535,0.70679917,0.721115805,0.640636545,0.908958052,"fishery"
1996,0.188128878,0.29360804,0.474428525,0.633365425,0.72813669,0.743444485,0.770080595,0.799184835,0.845978105,0.972507812,"fishery"
1997,0.229813003,0.39698642,0.664102403,0.68623564,0.862056185,0.903559519,0.971291428,0.88383615,0.951095034,1.107670675,"fishery"
1998,0.229813003,0.29616376,0.49448252,0.580319435,0.643736095,0.68207321,0.774683935,0.70743918,0.797509745,0.858439487,"fishery"
1999,0.2395717,0.406028125,0.56806612,0.707278825,0.75461039,0.838841575,0.979443275,1.1699481,1.141383515,0.960500485,"fishery"
2000,0.21542113,0.49662445,0.59439476,0.689179785,0.733554535,0.77796084,0.853969525,0.812946925,0.904457065,0.987781371,"fishery"
2001,0.223615175,0.41839487,0.56267652,0.719126045,0.76453233,0.840803985,0.82575219,0.946457015,0.911973335,1.109251512,"fishery"
2002,0.25301769,0.29291992,0.45933359,0.59975723,0.60147556,0.72298679,0.72188826,0.79146602,0.85100227,0.9402755,"fishery"
2003,0.207634267,0.30365457,0.420439875,0.53868943,0.666894955,0.746797225,0.731143375,0.668925625,0.824107995,0.996132366,"fishery"
2004,0.175849942,0.315625015,0.44377904,0.56695863,0.62385313,0.6790667,0.810196025,0.72845166,0.916284281,1.014808436,"fishery"
2005,0.24708391,0.406442155,0.48007824,0.536374585,0.557893245,0.65718744,0.966153668,1.183589993,0.942263874,1.009917906,"fishery"
2006,0.26532337,0.39330355,0.502898075,0.550778315,0.612661485,0.64727739,0.71446416,0.848494565,0.855647006,0.983524172,"fishery"
2007,0.24694309,0.437123356,0.546535709,0.714911918,0.696820204,0.768436821,0.778394139,0.775598309,1.272161265,1.033008535,"fishery"
2008,0.264539899,0.387556454,0.540453425,0.614886491,0.726822702,0.718778515,0.699928905,0.798152363,0.785755342,0.99784232,"fishery"
2009,0.214548464,0.395032333,0.493957737,0.605287091,0.667401881,0.733836711,0.74478843,0.769917747,0.816048026,0.813302409,"fishery"
2010,0.204185037,0.361720606,0.564659183,0.582890831,0.673174214,0.683882863,0.758393937,0.722940159,0.762297164,0.80330981,"fishery"
2011,0.219922091,0.444604355,0.640063676,0.8068258,0.753074437,0.770107994,0.797906715,0.931068554,0.913326147,0.899317616,"fishery"
2012,0.229904776,0.373798231,0.509219855,0.611736032,0.658007181,0.712835845,0.772325761,0.8218605,0.893889337,0.949143907,"fishery"
2013,0.266034215,0.280343557,0.606376535,0.676531179,0.740208628,0.867090774,0.822091349,0.80265641,0.821524413,1.092998774,"fishery"
2014,0.316418617,0.569083436,0.63394207,0.709190916,0.734920599,0.839948044,0.838485021,0.791230285,0.942418559,0.923142041,"fishery"
2015,0.178114051,0.375207114,0.603874373,0.619728399,0.679280605,0.70201253,0.735543154,0.77046415,0.76346177,0.863878434,"fishery"
2016,0.249023113,0.454561077,0.551763159,0.680151349,0.67879389,0.706472941,0.720255906,0.767483622,0.764165101,0.754177788,"fishery"
2017,0.256854,0.458189,0.626679,0.645702,0.756434,0.783282,0.795695,0.83797,0.809232,0.856983,"fishery"
2018,0.292200163,0.510627393,0.695319465,0.743768346,0.707962652,0.783132076,0.818648828,0.838820133,0.852409678,0.834882341,"fishery"
2019,0.425661,0.595446,0.664841,0.768855,0.783347,0.745908,0.847328,0.81075,0.817872,0.862319,"fishery"
